syndra_id,id_type,id_value,source,license
SYN0000001,BRD,BRD-A08715367,lincs_2020,custom_non_commercial
SYN0000002,BRD,BRD-A12237696,lincs_2020,custom_non_commercial
SYN0000003,BRD,BRD-A18795974,lincs_2020,custom_non_commercial
SYN0000004,BRD,BRD-A27924917,lincs_2020,custom_non_commercial
SYN0000005,BRD,BRD-A35931254,lincs_2020,custom_non_commercial
SYN0000006,BRD,BRD-A39230911,lincs_2020,custom_non_commercial
SYN0000007,BRD,BRD-A77577770,lincs_2020,custom_non_commercial
SYN0000008,BRD,BRD-A86415025,lincs_2020,custom_non_commercial
SYN0000009,BRD,BRD-K05674516,lincs_2020,custom_non_commercial
SYN0000010,BRD,BRD-K10673031,lincs_2020,custom_non_commercial
SYN0000011,BRD,BRD-K13994703,lincs_2020,custom_non_commercial
SYN0000012,BRD,BRD-K17874705,lincs_2020,custom_non_commercial
SYN0000013,BRD,BRD-K19203487,lincs_2020,custom_non_commercial
SYN0000014,BRD,BRD-K25075681,lincs_2020,custom_non_commercial
SYN0000015,BRD,BRD-K25835157,lincs_2020,custom_non_commercial
SYN0000016,BRD,BRD-K26341917,lincs_2020,custom_non_commercial
SYN0000017,BRD,BRD-K27853494,lincs_2020,custom_non_commercial
SYN0000018,BRD,BRD-K28308851,lincs_2020,custom_non_commercial
SYN0000019,BRD,BRD-K29133151,lincs_2020,custom_non_commercial
SYN0000020,BRD,BRD-K29968218,lincs_2020,custom_non_commercial
SYN0000021,BRD,BRD-K33422401,lincs_2020,custom_non_commercial
SYN0000022,BRD,BRD-K36363294,lincs_2020,custom_non_commercial
SYN0000023,BRD,BRD-K36381762,lincs_2020,custom_non_commercial
SYN0000024,BRD,BRD-K42205652,lincs_2020,custom_non_commercial
SYN0000025,BRD,BRD-K45437867,lincs_2020,custom_non_commercial
SYN0000026,BRD,BRD-K49468759,lincs_2020,custom_non_commercial
SYN0000027,BRD,BRD-K62277907,lincs_2020,custom_non_commercial
SYN0000028,BRD,BRD-K66766661,lincs_2020,custom_non_commercial
SYN0000029,BRD,BRD-K68552125,lincs_2020,custom_non_commercial
SYN0000030,BRD,BRD-K70821460,lincs_2020,custom_non_commercial
SYN0000031,BRD,BRD-K71822263,lincs_2020,custom_non_commercial
SYN0000032,BRD,BRD-K73700643,lincs_2020,custom_non_commercial
SYN0000033,BRD,BRD-K76022557,lincs_2020,custom_non_commercial
SYN0000034,BRD,BRD-K76677554,lincs_2020,custom_non_commercial
SYN0000035,BRD,BRD-K81647657,lincs_2020,custom_non_commercial
SYN0000036,BRD,BRD-K81807412,lincs_2020,custom_non_commercial
SYN0000037,BRD,BRD-K82244583,lincs_2020,custom_non_commercial
SYN0000038,BRD,BRD-K87737963,lincs_2020,custom_non_commercial
SYN0000039,BRD,BRD-K89464729,lincs_2020,custom_non_commercial
SYN0000040,BRD,BRD-K92041145,lincs_2020,custom_non_commercial
SYN0000041,BRD,BRD-K92073408,lincs_2020,custom_non_commercial
SYN0000042,BRD,BRD-K92404805,lincs_2020,custom_non_commercial
SYN0000043,BRD,BRD-K93725829,lincs_2020,custom_non_commercial
SYN0000044,BRD,BRD-K94780074,lincs_2020,custom_non_commercial
SYN0000045,BRD,BRD-K97019106,lincs_2020,custom_non_commercial
SYN0000046,BRD,BRD-K97101532,lincs_2020,custom_non_commercial
SYN0000047,BRD,BRD-K38615104,lincs_2020,custom_non_commercial
SYN0000048,BRD,BRD-K47569187,lincs_2020,custom_non_commercial
SYN0000049,BRD,BRD-A76934284,lincs_2020,custom_non_commercial
SYN0000050,BRD,BRD-K32795028,lincs_2020,custom_non_commercial
SYN0000051,BRD,BRD-K02603382,lincs_2020,custom_non_commercial
SYN0000052,BRD,BRD-K29542628,lincs_2020,custom_non_commercial
SYN0000053,BRD,BRD-K31491153,lincs_2020,custom_non_commercial
SYN0000054,BRD,BRD-K74430258,lincs_2020,custom_non_commercial
SYN0000055,BRD,BRD-A19232309,lincs_2020,custom_non_commercial
SYN0000056,BRD,BRD-K18436203,lincs_2020,custom_non_commercial
SYN0000057,BRD,BRD-K06817181,lincs_2020,custom_non_commercial
SYN0000058,BRD,BRD-K41853443,lincs_2020,custom_non_commercial
SYN0000059,BRD,BRD-K63784565,lincs_2020,custom_non_commercial
SYN0000060,BRD,BRD-K94919853,lincs_2020,custom_non_commercial
SYN0000061,BRD,BRD-K05396879,lincs_2020,custom_non_commercial
SYN0000062,BRD,BRD-K61033289,lincs_2020,custom_non_commercial
SYN0000063,BRD,BRD-A52934756,lincs_2020,custom_non_commercial
SYN0000064,BRD,BRD-K92301463,lincs_2020,custom_non_commercial
SYN0000065,BRD,BRD-A29731977,lincs_2020,custom_non_commercial
SYN0000066,BRD,BRD-K48115423,lincs_2020,custom_non_commercial
SYN0000067,BRD,BRD-A71657825,lincs_2020,custom_non_commercial
SYN0000068,BRD,BRD-K32681104,lincs_2020,custom_non_commercial
SYN0000069,BRD,BRD-K35128472,lincs_2020,custom_non_commercial
SYN0000070,BRD,BRD-A04831598,lincs_2020,custom_non_commercial
SYN0000071,BRD,BRD-K95015809,lincs_2020,custom_non_commercial
SYN0000072,BRD,BRD-A94451536,lincs_2020,custom_non_commercial
SYN0000073,BRD,BRD-K44408410,lincs_2020,custom_non_commercial
SYN0000074,BRD,BRD-K61734568,lincs_2020,custom_non_commercial
