parent_inchikey,n_brd_ids,brd_ids
XYLRKRISJMFHFX,32,BRD-K07796595; BRD-K11238413; BRD-K13118793; BRD-K15935695; BRD-K18925740; BRD-K18982118; BRD-K19969523; BRD-K29054201; BRD-K31262969; BRD-K33620583; BRD-K38186418; BRD-K40073746; BRD-K42595694; BRD-K43460092; BRD-K45409613; BRD-K52971552; BRD-K53674232; BRD-K59015387; BRD-K65373229; BRD-K69174517; BRD-K72282141; BRD-K75179331; BRD-K78386932; BRD-K81438250; BRD-K81527737; BRD-K84238725; BRD-K86535717; BRD-K88899439; BRD-K89222451; BRD-K89676402; BRD-K95919017; BRD-K98471960
YDHXSWOLXDIZHC,31,BRD-K02665621; BRD-K03354784; BRD-K04237106; BRD-K07700224; BRD-K11977286; BRD-K16331350; BRD-K16813995; BRD-K17507122; BRD-K28513938; BRD-K33591392; BRD-K35571012; BRD-K41763142; BRD-K42704273; BRD-K51088127; BRD-K54839171; BRD-K62320150; BRD-K63607326; BRD-K66857873; BRD-K70918484; BRD-K71151012; BRD-K72760455; BRD-K80841398; BRD-K80976693; BRD-K87167564; BRD-K87536251; BRD-K95367721; BRD-K95631838; BRD-K96451524; BRD-K96534186; BRD-K96551169; BRD-K98850601
KBGVHZBKJITMSF,28,BRD-K01975855; BRD-K10812716; BRD-K16244298; BRD-K23123734; BRD-K24671931; BRD-K25161864; BRD-K26910201; BRD-K30600059; BRD-K31479060; BRD-K35421408; BRD-K36716113; BRD-K37280550; BRD-K38481376; BRD-K40513181; BRD-K44925448; BRD-K52463977; BRD-K56339035; BRD-K66641352; BRD-K72356321; BRD-K79937035; BRD-K80761414; BRD-K81897236; BRD-K84015265; BRD-K86452395; BRD-K88321606; BRD-K93923246; BRD-K95125640; BRD-K95457967
KKWAEGUSNQIREC,26,BRD-K13839830; BRD-K15485967; BRD-K15769121; BRD-K16421840; BRD-K16633334; BRD-K18979455; BRD-K25098415; BRD-K31575862; BRD-K33868913; BRD-K39284479; BRD-K41423946; BRD-K41915268; BRD-K43692189; BRD-K43781861; BRD-K50413145; BRD-K56826759; BRD-K57441129; BRD-K67344967; BRD-K74299234; BRD-K74314059; BRD-K75621129; BRD-K78719595; BRD-K84233319; BRD-K85114251; BRD-K99546030; BRD-K99856384
CIRYYAWURCKBQH,16,BRD-K03209844; BRD-K04321001; BRD-K04873321; BRD-K12441550; BRD-K12880737; BRD-K18561719; BRD-K19390761; BRD-K34695725; BRD-K36090848; BRD-K41731469; BRD-K54067509; BRD-K60144139; BRD-K60170940; BRD-K66115910; BRD-K68036990; BRD-K91648652
WIYHORLWMFSPCL,16,BRD-K02589376; BRD-K27239120; BRD-K34639619; BRD-K40956802; BRD-K45253154; BRD-K48703351; BRD-K57200229; BRD-K65366129; BRD-K65404805; BRD-K66608846; BRD-K73371640; BRD-K94979678; BRD-K95517054; BRD-K98630904; BRD-K99380810; BRD-K99581804
QSJJIXXWPSYZRO,16,BRD-K03163743; BRD-K05377469; BRD-K07497357; BRD-K16605233; BRD-K22907310; BRD-K30111752; BRD-K38748890; BRD-K43915000; BRD-K49910674; BRD-K50876388; BRD-K53783288; BRD-K61974010; BRD-K66226084; BRD-K80568112; BRD-K89674009; BRD-K98245381
BCMJULRZXHZHRC,16,BRD-K02624294; BRD-K05269173; BRD-K06519744; BRD-K34414758; BRD-K34977825; BRD-K37398853; BRD-K38046923; BRD-K38791044; BRD-K56120807; BRD-K79494396; BRD-K83012560; BRD-K83341545; BRD-K84362145; BRD-K84939696; BRD-K88996418; BRD-K98095706
UWMJOJNRDSZDAZ,16,BRD-K03113036; BRD-K09701578; BRD-K09722997; BRD-K14357170; BRD-K14971087; BRD-K17535604; BRD-K18918854; BRD-K19399946; BRD-K37010295; BRD-K45543414; BRD-K57552429; BRD-K71571889; BRD-K72271119; BRD-K73408523; BRD-K81882789; BRD-K92947165
JCVAFPCEYZSYDX,16,BRD-K01678149; BRD-K05802716; BRD-K09395335; BRD-K13090434; BRD-K31897694; BRD-K37094091; BRD-K37658621; BRD-K47620421; BRD-K57051157; BRD-K61845512; BRD-K64183190; BRD-K65266979; BRD-K68635551; BRD-K72894736; BRD-K79438478; BRD-K87383650
UVSCGJDGVAXROK,16,BRD-K01497355; BRD-K02515288; BRD-K08251038; BRD-K13559922; BRD-K14433433; BRD-K36654803; BRD-K36864553; BRD-K42841961; BRD-K45690206; BRD-K46629170; BRD-K57204377; BRD-K60756411; BRD-K68253248; BRD-K70836798; BRD-K74407269; BRD-K92364610
VEFOSOMUCSIFLK,16,BRD-K03591925; BRD-K12633506; BRD-K17339982; BRD-K18724553; BRD-K25476619; BRD-K27841704; BRD-K45613561; BRD-K51502980; BRD-K52660225; BRD-K57230817; BRD-K67862892; BRD-K85158753; BRD-K87260976; BRD-K92655621; BRD-K97709323; BRD-K99432717
